Frequency (MHz),Level (dBm),Band Name,Peak Indicator
50.00,-105.11,Low VHF+FM
50.02,-102.96,Low VHF+FM
50.04,-101.30,Low VHF+FM
50.07,-105.37,Low VHF+FM
50.09,-102.64,Low VHF+FM
50.11,-102.72,Low VHF+FM
50.13,-104.84,Low VHF+FM
50.15,-109.62,Low VHF+FM
50.17,-103.14,Low VHF+FM
50.20,-104.59,Low VHF+FM
50.22,-107.26,Low VHF+FM
50.24,-104.96,Low VHF+FM
50.26,-105.51,Low VHF+FM
50.28,-104.98,Low VHF+FM
50.30,-107.28,Low VHF+FM
50.33,-103.57,Low VHF+FM
50.35,-107.55,Low VHF+FM
50.37,-104.72,Low VHF+FM
50.39,-102.45,Low VHF+FM
50.41,-101.97,Low VHF+FM
50.43,-108.03,Low VHF+FM
50.46,-102.55,Low VHF+FM
50.48,-103.17,Low VHF+FM
50.50,-108.00,Low VHF+FM
50.52,-112.03,Low VHF+FM
50.54,-107.22,Low VHF+FM
50.57,-102.95,Low VHF+FM
50.59,-102.21,Low VHF+FM
50.61,-103.82,Low VHF+FM
50.63,-104.74,Low VHF+FM
50.65,-107.03,Low VHF+FM
50.67,-102.59,Low VHF+FM
50.70,-104.59,Low VHF+FM
50.72,-106.99,Low VHF+FM
50.74,-109.49,Low VHF+FM
50.76,-101.57,Low VHF+FM
50.78,-108.48,Low VHF+FM
50.80,-104.32,Low VHF+FM
50.83,-101.10,Low VHF+FM
50.85,-106.75,Low VHF+FM
50.87,-106.03,Low VHF+FM
50.89,-99.57,Low VHF+FM
50.91,-103.29,Low VHF+FM
50.93,-107.77,Low VHF+FM
50.96,-100.03,Low VHF+FM
50.98,-102.94,Low VHF+FM
51.00,-102.95,Low VHF+FM
51.02,-107.19,Low VHF+FM
51.04,-103.47,Low VHF+FM
51.07,-102.19,Low VHF+FM
51.09,-103.31,Low VHF+FM
51.11,-102.32,Low VHF+FM
51.13,-107.57,Low VHF+FM
51.15,-105.89,Low VHF+FM
51.17,-102.11,Low VHF+FM
51.20,-100.34,Low VHF+FM
51.22,-103.53,Low VHF+FM
51.24,-111.03,Low VHF+FM
51.26,-103.20,Low VHF+FM
51.28,-99.70,Low VHF+FM
51.30,-103.07,Low VHF+FM
51.33,-99.78,Low VHF+FM
51.35,-107.34,Low VHF+FM
